"Time","Family","Genus","Species","Number","Activity","TL","Comment","ID"
19.43697,"Chaetodontidae","Chaetodon","baronessa",1,"Passing",12,"time in",1
19.52007,"Chaetodontidae","Chaetodon","baronessa",1,"Feeding",12,"unknown",1
19.61157,"Chaetodontidae","Chaetodon","baronessa",1,"Feeding",12,"Tabular Acropora",1
19.62107,"Chaetodontidae","Chaetodon","baronessa",1,"Feeding",12,"Tabular Acropora",1
19.64297,"Chaetodontidae","Chaetodon","baronessa",1,"Feeding",12,"Tabular Acropora",1
19.65557,"Chaetodontidae","Chaetodon","baronessa",1,"Feeding",12,"Tabular Acropora",1
19.66777,"Chaetodontidae","Chaetodon","baronessa",1,"Feeding",12,"Tabular Acropora",1
19.73167,"Chaetodontidae","Chaetodon","baronessa",1,"Feeding",12,"Tabular Acropora",1
19.98137,"Chaetodontidae","Chaetodon","baronessa",1,"Feeding",12,"Tabular Acropora",1
20.04287,"Chaetodontidae","Chaetodon","baronessa",1,"Feeding",12,"Tabular Acropora",1
20.07177,"Chaetodontidae","Chaetodon","baronessa",1,"Feeding",12,"Tabular Acropora",1
20.22887,"Chaetodontidae","Chaetodon","baronessa",1,"Feeding",12,"Tabular Acropora",1
20.23807,"Chaetodontidae","Chaetodon","baronessa",1,"Feeding",12,"Tabular Acropora",1
20.29427,"Chaetodontidae","Chaetodon","baronessa",1,"Feeding",12,"Tabular Acropora",1
20.52747,"Chaetodontidae","Chaetodon","baronessa",1,"Passing",12,"time out",1
22.99277,"Chaetodontidae","Chaetodon","vagabundus",1,"Passing",12,"time in",2
23.04947,"Chaetodontidae","Chaetodon","vagabundus",1,"Passing",12,"time out",2
24.65187,"Chaetodontidae","Chaetodon","unimaculatus",1,"Passing",12,"time in",3
24.77677,"Chaetodontidae","Chaetodon","unimaculatus",1,"Passing",12,"time out",3
32.3136,"Chaetodontidae","Chaetodon","baronessa",1,"Passing",12,"time in",4
32.3439,"Chaetodontidae","Chaetodon","baronessa",1,"Passing",12,"time in",5
32.4513,"Chaetodontidae","Chaetodon","baronessa",1,"Feeding",12,"Tabular Acropora",5
32.5066,"Chaetodontidae","Chaetodon","baronessa",1,"Passing",12,"time out",4
32.5258,"Chaetodontidae","Chaetodon","baronessa",1,"Passing",12,"time out",5
32.7574,"Labridae","Labrichthys","unilineatus",1,"Passing",15,"time in",6
32.7969,"Chaetodontidae","Chaetodon","baronessa",1,"Passing",12,"time in",7
32.8013,"Chaetodontidae","Chaetodon","baronessa",1,"Feeding",12,"Tabular Acropora",7
32.833,"Chaetodontidae","Chaetodon","baronessa",1,"Feeding",12,"Tabular Acropora",7
32.8467,"Chaetodontidae","Chaetodon","baronessa",1,"Passing",12,"time in",8
32.8489,"Chaetodontidae","Chaetodon","baronessa",1,"Feeding",12,"Tabular Acropora",7
32.8828,"Labridae","Labrichthys","unilineatus",1,"Feeding",15,"Tabular Acropora",6
32.9028,"Chaetodontidae","Chaetodon","baronessa",1,"Feeding",12,"Tabular Acropora",7
32.9098,"Labridae","Labrichthys","unilineatus",1,"Feeding",15,"Tabular Acropora",6
32.917,"Labridae","Labrichthys","unilineatus",1,"Feeding",15,"Tabular Acropora",6
32.9481,"Chaetodontidae","Chaetodon","baronessa",1,"Passing",12,"time out",8
32.9659,"Chaetodontidae","Chaetodon","baronessa",1,"Passing",12,"time out",7
32.9896,"Labridae","Labrichthys","unilineatus",1,"Feeding",15,"Tabular Acropora",6
33.1417,"Labridae","Labrichthys","unilineatus",1,"Passing",15,"time out",6
35.7243,"Chaetodontidae","Chaetodon","baronessa",1,"Passing",12,"time in",9
35.8602,"Chaetodontidae","Chaetodon","baronessa",1,"Passing",12,"time out",9
40.57623,"Labridae","Labrichthys","unilineatus",1,"Passing",15,"time in",10
40.72883,"Labridae","Labrichthys","unilineatus",1,"Feeding",15,"Tabular Acropora",10
40.73633,"Labridae","Labrichthys","unilineatus",1,"Feeding",15,"Tabular Acropora",10
40.76083,"Labridae","Labrichthys","unilineatus",1,"Feeding",15,"Tabular Acropora",10
41.06173,"Labridae","Labrichthys","unilineatus",1,"Passing",15,"time out",10
53.73597,"Chaetodontidae","Chaetodon","baronessa",1,"Passing",12,"time in",11
53.83217,"Chaetodontidae","Chaetodon","baronessa",1,"Feeding",12,"Tabular Acropora",11
53.84767,"Chaetodontidae","Chaetodon","baronessa",1,"Feeding",12,"Tabular Acropora",11
53.87187,"Chaetodontidae","Chaetodon","baronessa",1,"Feeding",12,"Tabular Acropora",11
53.89607,"Chaetodontidae","Chaetodon","baronessa",1,"Feeding",12,"Tabular Acropora",11
53.92497,"Chaetodontidae","Chaetodon","baronessa",1,"Feeding",12,"Tabular Acropora",11
53.98257,"Chaetodontidae","Chaetodon","baronessa",1,"Feeding",12,"Tabular Acropora",11
54.06297,"Chaetodontidae","Chaetodon","baronessa",1,"Feeding",12,"Tabular Acropora",11
54.11997,"Chaetodontidae","Chaetodon","baronessa",1,"Feeding",12,"Tabular Acropora",11
54.22807,"Chaetodontidae","Chaetodon","baronessa",1,"Passing",12,"time out",11
